ID,Set,Description
ONE1,,"a ""pe"" set: this is explicitly not considering the mo- and -ete morphology. -VMW"
ONE2,"COMPLEX, MED",a 'peten' set -- LDM
ONE3,"COMPLEX, MED",a 'oyepe' set -- LDM
ONE4,,
ONE5,,
ONE6,,
ONE7,,
ONE8,,
TWO1,,
TWO2,,
TWO3,,
TWO4,,
TWO5,,
TWO6,,
TWO7,,
TWO8,,
TWO9,,
TWO10,,
TWO11,,
THREE1,,
THREE2,,
THREE3,,
THREE4,,
THREE5,,
THREE6,,
THREE7,,
THREE8,,
THREE9,,
FOUR1,,
FOUR2,,
FOUR3,,
FOUR5,,
FOUR6,,
FOUR7,,
FOUR8,,
FIVE2,"COMPOUND, IND",a 'pandepo' set -- LDM
FIVE3,,
FIVE4,,
FIVE5,,
FIVE6,,
FIVE7,,
FIVE1,LOAN,post-POK Quechua loan -- LDM
FIVE8,LOAN,post-POK Quechua loan -- LDM
HEAD1,"COMPOUND, GEN","An ""ʔa+kaŋ"" round classifier (FRUIT)+BONE compound set.  Change of ã>ɨ observed in some languages in 'head' is always attested under 'bone', as are odd palatalization processes such as in Araweté.  All HEAD1 forms copied to BONE1 and FRUIT2-- ZJO"
HEAD2,"COMPOUND, GEN","compound of FRUIT2 (round thing classifier and SCRAPE~SCRATCH1. - NCP 
Most probably originally meant shave head and came to mean head in some languages and hair in Yuki. - NCP"
HEAD3,,
HEAD4,,
HEAD5,,
BONE1,,"In languages that show an ã>ɨ shift, the compounded form TIRED does not show this shift.  I take this as evidence that this sound change targeted the word for 'bone' after 'tired' was reinterpreted as not derivative from it, but, crucially, while 'head' was still interpreted as HAIR+BONE -- ZJO"
BONE2X,,
BONE3,,
BRAIN2,"COMPOUND, GEN","An ""apɨɾ+uʔum"" crown of head + rotten/mushy compound set.   -- NCP"
BRAIN1,"COMPOUND, IND","An ""akaŋ+apytuʔum"" compound set -- ZJO"
HAIR1,,"An ap ~ aba set; with final consonant loss in some cases, e.g. due to consonant cluster resolution with the nominal past -- LDM"
HAIR2,,
HAIR3,,
HAIR4,,
FACE1,,"An ""oβá"" set -- ZJO"
FACE2,"COMPOUND, GEN",eye + bone - NCP
FACE3,,
CHEEK1,"COMPOUND, GEN","A ""toβa+ɨke"" FACE+SIDE set -- ZJO
"
CHEEK2,"COMPLEX, MED","A toβa+pe ""FACE+LOC"" set -- ZJO"
CHEEK3,,"An ""atɨpɨ"" set -- ZJO"
CHEEK4,,
CHEEK5,,
CHEEK6,,
CHEEK7,,
CHEEK8,"COMPOUND, GEN",mouth + ? - SM
MOUTH1,,
MOUTH2,,
MOUTH3,,
MOUTH4,,
MOUTH5,,
MOUTH6X,,
TOOTH1,,
TOOTH2X,,These words mean mollar -- ZJO
LIP1,,this is an embe set.  - NCP
LIP2.5X,,"An *apuã set, Xd b/c not caught in time for deep drilling -- ZJO"
LIP3,,
LIP4,"COMPOUND, GEN",A MOUTH+EDGE compound set -- ZJO
LIP5,"COMPOUND, GEN",A MOUTH+SKIN compound set -- ZJO
LIP6,"COMPOUND, GEN",A MOUTH+? compound set -- ZJO
LIP7X,"COMPOUND, GEN",A ?+SKIN compound set that originally meant 'foreskin'; Xd b/c not caught in time for deep drilling -- ZJO
LIP8,,
LIP9,,
TONGUE1,,a ku set -- LDM
TONGUE2,"COMPOUND, MED",an apeku set -- LDM
TONGUE3,"COMPOUND, GEN",
TONGUE4,,
TONGUE5,,
THROAT1,,
THROAT2,"COMPOUND, GEN ","An ""ase+ʔok"" compound set, with occasional loss of intervocalic fricative -- ZJO"
THROAT3,"COMPOUND, MED","An ""ase+ʔok+kwaɾ"" ?+HOUSE+HOLE compound set -- ZJO"
THROAT4,,
THROAT5,,
THROAT6,,
THROAT7,,
THROAT8,,
THROAT9,,
THROAT11,,
THROAT12,,
THROAT13,,
THROAT14,"COMPOUND, MED","An ""aj+kwaɾ"" ?+HOLE compound set -- ZJO"
THROAT15,"COMPOUND, MED",NECK+HOLE -- ZJO
THROAT16,,
NECK1,,"An ""ajuɾ"" set -- ZJO"
NECK2,,"An ""upɨ"" set -- ZJO"
NECK3,"COMPOUND, MED","An ""ajuɾ+upɨ"" compound set -- ZJO"
NECK4,"COMPOUND, MED","An ""ajuɾ+ɨβ"" compound set, neck and trunk-- ZJO"
NECK5,,
NECK6,,
EYE1,,"An ""esá"" set -- ZJO"
EYE3,"COMPOUND, GEN","A ""tsitsa+sai"" FACE+SEED compound set -- ZJO"
EYE4,"COMPOUND, MED",tsitsa+kuara: face + hole - NCP
EYEBROW1,,"A ""tɨβɨtaβ"" set -- ZJO"
